Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Christian McCaffrey,SFO,27,RB,4,4,80,459,6,23,53.8,65,5.7,114.8,1
Derrick Henry,TEN,29,RB,4,4,73,285,2,16,45.2,29,3.9,71.3,0
Tony Pollard,DAL,26,RB,4,4,73,311,2,18,53.4,31,4.3,77.8,1
Travis Etienne,JAX,24,RB,4,4,69,260,1,10,47.8,26,3.8,65.0,0
David Montgomery,DET,26,RB,3,3,69,262,5,16,55.1,16,3.8,87.3,1
Zack Moss,IND,26,RB,3,3,66,280,1,17,45.5,24,4.2,93.3,0
Dameon Pierce,HOU,23,RB,4,4,64,181,1,7,37.5,13,2.8,45.3,0
Kyren Williams,LAR,23,RB,4,3,64,245,5,15,59.4,20,3.8,61.3,1
Rachaad White,TAM,24,RB,4,4,63,206,1,11,44.4,13,3.3,51.5,1
James Conner,ARI,28,RB,4,4,62,318,2,15,50.0,26,5.1,79.5,0
Josh Jacobs,LVR,25,RB,4,4,62,166,1,10,46.8,10,2.7,41.5,0
Brian Robinson Jr.,WAS,24,RB,4,4,61,261,3,20,49.2,27,4.3,65.3,1
Rhamondre Stevenson,NWE,25,RB,4,4,60,164,1,9,43.3,12,2.7,41.0,0
Joe Mixon,CIN,27,RB,4,4,59,247,1,15,50.8,22,4.2,61.8,0
D'Andre Swift,PHI,24,RB,4,3,59,364,2,17,69.5,43,6.2,91.0,0
Joshua Kelley,LAC,26,RB,4,3,57,207,1,15,45.6,22,3.6,51.8,0
James Cook,BUF,24,RB,4,4,56,296,1,14,53.6,36,5.3,74.0,0
Alexander Mattison,MIN,25,RB,4,4,56,250,0,10,50.0,17,4.5,62.5,1
Isiah Pacheco,KAN,24,RB,4,3,55,270,2,16,52.7,48,4.9,67.5,0
Miles Sanders,CAR,26,RB,4,4,54,158,1,7,31.5,15,2.9,39.5,1
Bijan Robinson,ATL,21,RB,4,4,53,318,0,18,50.9,38,6.0,79.5,0
Jerome Ford,CLE,24,RB,4,2,50,186,1,6,34.0,69,3.7,46.5,1
Najee Harris,PIT,25,RB,4,4,49,210,0,10,46.9,24,4.3,52.5,0
Raheem Mostert,MIA,31,RB,4,4,48,249,6,14,50.0,43,5.2,62.3,2
Kenneth Walker III,SEA,23,RB,3,3,47,204,4,13,55.3,36,4.3,68.0,0
Tyler Allgeier,ATL,23,RB,4,1,45,151,2,10,44.4,22,3.4,37.8,0
AJ Dillon,GNB,25,RB,4,2,44,118,0,6,43.2,14,2.7,29.5,0
Gus Edwards,BAL,28,RB,4,2,44,193,1,11,47.7,20,4.4,48.3,0
Khalil Herbert,CHI,25,RB,4,4,41,196,0,10,53.7,24,4.8,49.0,1
Lamar Jackson,BAL,26,QB,4,4,41,220,4,17,53.7,16,5.4,55.0,6
Jalen Hurts,PHI,25,QB,4,4,40,134,3,17,57.5,24,3.4,33.5,1
Jahmyr Gibbs,DET,21,RB,4,1,39,179,0,8,35.9,21,4.6,44.8,0
Javonte Williams,DEN,23,RB,4,4,38,138,0,6,44.7,16,3.6,34.5,0
Ezekiel Elliott,NWE,28,RB,4,0,34,138,0,9,44.1,14,4.1,34.5,1
Kenneth Gainwell,PHI,24,RB,3,1,32,111,0,5,40.6,16,3.5,37.0,1
Breece Hall,NYJ,22,RB,4,4,32,210,0,6,43.8,83,6.6,52.5,2
Dalvin Cook,NYJ,28,RB,4,0,30,74,0,4,36.7,10,2.5,18.5,1
Saquon Barkley,NYG,26,RB,2,2,29,114,1,7,51.7,18,3.9,57.0,0
Nick Chubb,CLE,28,RB,2,2,28,170,0,8,57.1,20,6.1,85.0,0
Justin Fields,CHI,24,QB,4,4,28,134,1,8,46.4,20,4.8,33.5,4
De'Von Achane,MIA,22,RB,3,0,27,309,4,10,70.4,67,11.4,103.0,0
Devin Singletary,HOU,26,RB,4,0,27,95,0,2,40.7,14,3.5,23.8,0
Jamaal Williams,NOR,28,RB,2,2,27,74,0,3,40.7,11,2.7,37.0,1
Chuba Hubbard,CAR,24,RB,4,0,26,119,0,11,57.7,21,4.6,29.8,0
Clyde Edwards-Helaire,KAN,24,RB,4,1,25,89,1,5,40.0,16,3.6,22.3,0
Jaylen Warren,PIT,25,RB,4,0,25,84,0,4,44.0,18,3.4,21.0,1
